0.13659,0.23869,0.30605,0.36448,0.4098,0.45587,0.49254,0.52638,0.55788
0.13735,0.23698,0.30913,0.36362,0.4123,0.45501,0.48986,0.52873,0.55601
0.13728,0.23712,0.30789,0.36297,0.41352,0.45375,0.4908,0.52427,0.55662
0.13728,0.23692,0.30927,0.36317,0.41397,0.45557,0.49327,0.52804,0.55644
0.14185,0.23812,0.30562,0.36565,0.41237,0.45701,0.49397,0.52775,0.55622
0.13433,0.24039,0.30468,0.3632,0.41301,0.45557,0.49575,0.52622,0.55548
0.13832,0.23894,0.30659,0.36744,0.41261,0.45583,0.49173,0.52722,0.55669
0.13551,0.23847,0.30846,0.36526,0.41084,0.45644,0.49162,0.52755,0.55556
0.13746,0.23823,0.30682,0.36353,0.41385,0.45395,0.4904,0.52605,0.55555
0.13811,0.24007,0.30691,0.36612,0.41092,0.45534,0.49396,0.52532,0.55474
